[     0.0s] === 20260616_044045_siglip512_loto_recap ===
[     0.0s] config: {"name": "siglip512_loto_recap", "backbone": "vit_so400m_patch16_siglip_512.v2_webli", "img_size": 0, "rank": 16, "alpha": 32, "attn_only": false, "epochs": 3, "batch": 8, "accum": 2, "lr": 0.0002, "weight_decay": 0.01, "warmup_steps": 1000, "ema_decay": 0.9995, "seed": 42, "subset": 0, "skip_infer": true, "recapture_p": 0.5, "rc_min": 0.2, "rc_max": 0.6, "loto_types": "MAURITIUS/ID,GUINEA/DL", "num_workers": 2, "out": "subs/siglip512_dora.csv"}
[     6.4s] backbone=vit_so400m_patch16_siglip_512.v2_webli img=512 mean=(0.5, 0.5, 0.5) | DoRA layers=108 | trainable=7.98M
[     6.4s] recapture aug ON: p=0.5 strength U[0.2,0.6]
[     9.4s] type-LOO: held-out types = MAURITIUS/ID,GUINEA/DL
[  9350.9s]   e1 step 3450/7986 loss=0.0577 lr=1.45e-04
[  9482.8s]   e1 step 3500/7986 loss=0.0575 lr=1.43e-04
[  9614.6s]   e1 step 3550/7986 loss=0.0562 lr=1.41e-04
[  9746.3s]   e1 step 3600/7986 loss=0.0550 lr=1.39e-04
[  9878.1s]   e1 step 3650/7986 loss=0.0547 lr=1.37e-04
[ 10010.1s]   e1 step 3700/7986 loss=0.0533 lr=1.35e-04
[ 10141.8s]   e1 step 3750/7986 loss=0.0528 lr=1.33e-04
[ 10273.6s]   e1 step 3800/7986 loss=0.0526 lr=1.31e-04
[ 10405.5s]   e1 step 3850/7986 loss=0.0516 lr=1.29e-04
[ 10537.4s]   e1 step 3900/7986 loss=0.0506 lr=1.26e-04
[ 10669.7s]   e1 step 3950/7986 loss=0.0505 lr=1.24e-04
[ 10801.5s]   e1 step 4000/7986 loss=0.0495 lr=1.22e-04
[ 10933.3s]   e1 step 4050/7986 loss=0.0494 lr=1.20e-04
[ 11065.2s]   e1 step 4100/7986 loss=0.0484 lr=1.18e-04
[ 11197.1s]   e1 step 4150/7986 loss=0.0476 lr=1.15e-04
[ 11328.9s]   e1 step 4200/7986 loss=0.0476 lr=1.13e-04
[ 11460.7s]   e1 step 4250/7986 loss=0.0476 lr=1.11e-04
[ 11592.5s]   e1 step 4300/7986 loss=0.0474 lr=1.09e-04
[ 11724.3s]   e1 step 4350/7986 loss=0.0468 lr=1.06e-04
[ 11856.3s]   e1 step 4400/7986 loss=0.0466 lr=1.04e-04
[ 11988.1s]   e1 step 4450/7986 loss=0.0463 lr=1.02e-04
[ 12119.9s]   e1 step 4500/7986 loss=0.0459 lr=9.97e-05
[ 12251.7s]   e1 step 4550/7986 loss=0.0462 lr=9.74e-05
[ 12383.6s]   e1 step 4600/7986 loss=0.0456 lr=9.52e-05
